"exercise","weight_delta"
0,1.14172435555839
0,1.7254757709244
0,1.06455810356599
0,-0.00670926517570198
0,-1.11112880251131
21.51,-1.0676936122103
85,-1.02630846109813
603.58,-0.292503355875168
75,10.3448328290584
135,0
29.95,-0.294122224124243
0,2.70527946609463
30,-1.52176246856021
110,-2.72263253999462
0,-1.18746745356708
45,1.63937092393514
0,1.65289256198347
0,0.591594402355949
10,0.635379176927891
0,-3.68241685978176
0,-1.6141788881641
15,-1.29535725606628
30,-1.13731817423448
0,-1.68146168253472
0,-0.269971812204403
0,-0.902541082929916
0,-0.364324508829522
0,-0.914091334571334
0,-0.645726157197199
0,0.742856733456902
0,-1.290362563332
0,3.36137653922001
0,-3.2520624741724
0,-0.560212269297117
0,-0.469490857038164
0,-0.283012883507676
0,-1.41908059845938
0,0.76770254144769
0,-0.0952185985963998
0,-0.38134248527276
0,-0.382802272974201
0,0.576462864524882
30,0
0,11.1111292561444
0,-1.59964988084404
350,-1.81170885511668
420,-0.535434514130792
26.33,3.2600375881759
0,-2.98921789507563
0,-1.35445610251732
185.42,-0.723894770181007
304.09,-0.523230005763566
212.26,-0.118740590430051
2.61,-0.47552700529398
0,-1.20537428023033
30,-0.671377503441542
0,1.91672517904789
0,-0.0049177547905716
0,-2.47862107229849
0,1.07521088561451
0,1.0309694901215
25,-1.0976680603584
55,-1.6541268633584
110,0.12853674405319
81.22,-0.898602174395387
180,0.148040857448995
132.01,-0.458225451393249
122.01,-1.3772689886682
155.95,0.395204794276231
10,0.262413428160932
0,0.523568669909338
60,-0.520784293912709
210.02,-0.52351065518187
59.95,0
0,2.10517888160848
0,-0.515472118367664
0,-0.125788151787703
30,-0.410706666711935
105,2.57736059183837
29.95,-0.656062882047567
0,-2.45850957471353
461.93,-3.36052915692947
411.09,-2.30266664636097
515,-1.64143972814141
390.22,-0.590510000316968
266.07,-0.568190876423265
430.11,-0.086581474771124
340.02,1.90644307149161
134.97,-0.204084846385201
65,2.24952424834393
100.04,-0.250003858084226
155.1,-1.55390875195321
190.02,0.30550378265229
165,-1.33493706162267
15,-3.49829314831941
0,-0.282655523815157
30,-0.43611686008937
0,-0.438007857063741
